Narrative,Fakes,Disinfo_cases_en,Date,Countries,Media,Link
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,"The only thing standing in the way of Ukraine's sudden collapse has always been the desire of some of its leaders to maintain a degree of pragmatic relations with Russia that were mutually beneficial and helped cushion the former country's fall. The Ukrainian people have always been able to rely on the Russian labor and export market, which arguably made life easier for many people in these difficult times. From a Western perspective, however, this was something that needed to be stopped as soon as possible in order to plunge Ukraine into economic freefall. That explains why they activated their cadres for the Color Revolution at the end of 2013 after the then head of state ducked the signing of the EU Association Agreement at the last minute.",31/08/2021,Germany,Uncutnews,https://uncutnews.ch/die-ukraine-stirbt-einen-tod-der-deindustrialisierung/
The West controls Ukraine and uses it to its advantage,The West wants to kill Ukrainian economy to remove competitors and avoid competition,"The West benefited from the oligarchs' deindustrialization of Ukraine, because it eliminated serious competitors for their own industries and also triggered massive emigration.",31/08/2021,Germany,Uncutnews,https://uncutnews.ch/die-ukraine-stirbt-einen-tod-der-deindustrialisierung/
The West controls Ukraine and uses it to its advantage,The West wants to kill Ukrainian economy to remove competitors and avoid competition,"The only thing standing in the way of Ukraine's sudden collapse has always been the desire of some of its leaders to maintain a degree of pragmatic relations with Russia that were mutually beneficial and helped cushion the former country's fall. The Ukrainian people have always been able to rely on the Russian labor and export market, which arguably made life easier for many people in these difficult times. From a Western perspective, however, this was something that needed to be stopped as soon as possible in order to plunge Ukraine into economic freefall. That explains why they activated their cadres for the Color Revolution at the end of 2013 after the then head of state ducked the signing of the EU Association Agreement at the last minute.",31/08/2021,Germany,Uncutnews,https://uncutnews.ch/die-ukraine-stirbt-einen-tod-der-deindustrialisierung/
The West controls Ukraine and uses it to its advantage,The West wants to kill Ukrainian economy to remove competitors and avoid competition,"The result was that Ukraine's corrupt oligarchs fell completely under the control of foreign forces, which then governed the country vicariously in order to achieve their goal of bringing about the country's irreversible collapse. ",31/08/2021,Germany,Uncutnews,https://uncutnews.ch/die-ukraine-stirbt-einen-tod-der-deindustrialisierung/
Russians are discriminated in Ukraine,There is a discrimination of Russians in Ukraine,"The state's discriminatory policy towards the native Russian minority, combined with the outlawing of almost all opposition groups, led to a tyrannical system unlike any other in Europe today.",31/08/2021,Germany,Uncutnews,https://uncutnews.ch/die-ukraine-stirbt-einen-tod-der-deindustrialisierung/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"The rapid succession of events this set in motion led to the killing spree known as EuroMaidan and the democratic reunification of Crimea with its historic Russian homeland, which in turn laid the basis for the West's New Cold War against Russia.",31/08/2021,Germany,Uncutnews,https://uncutnews.ch/die-ukraine-stirbt-einen-tod-der-deindustrialisierung/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","The subsequent Ukrainian civil war in Donbas was used as a pretext to sever virtually all ties with Russia, plunging Ukraine into the abyss and making the previous nearly two and a half decades of independence seem like child's play.",31/08/2021,Germany,Uncutnews,https://uncutnews.ch/die-ukraine-stirbt-einen-tod-der-deindustrialisierung/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"On March 16 of 2014 Russia had ""illegally"" annexed Crimea to its territory",3/9/2021,Italy,Sicurezza Internazionale,https://sicurezzainternazionale.luiss.it/2021/09/03/Russia-ucraina-kiev-si-svincola-dagli-accordi-minsk-sul-donbass/
Ukraine is conducting an aggressive policy,Ukraine denounced Minsk Agreements,"Ukraine revealed, on Friday 3 September, that it had ""disengaged"" from the Minsk Agreements that linked it to Russia for the resolution of the crisis in Donbas. The Kyiv authorities have described the achievement as ""revolutionary"".",3/9/2021,Italy,Sicurezza Internazionale,https://sicurezzainternazionale.luiss.it/2021/09/03/Russia-ucraina-kiev-si-svincola-dagli-accordi-minsk-sul-donbass/
Russians are discriminated in Ukraine,There is a discrimination of Russians in Ukraine,The policy of russophobia and discrimination of the Russian language concerns the rejection of the Donbass.,10/9/2021,Italy,Controinformazione,https://www.controinformazione.info/la-politica-di-kiev-della-russofobia-e-della-discriminazione-della-lingua-russa-riguarda-il-rifiuto-del-donbass/
Ukraine is conducting an aggressive policy,Ukraine prevents OSCE monitors from recording their violations,Ukrainian security forces install mine danger signs to prevent OSCE Special Monitoring Mission patrols from entering military equipment sites in Donbas.,19/09/2021,Germany,Newsfront,https://de.news-front.info/2021/09/19/ukrainische-straftater-stellen-minen-schilder-auf-um-zu-verhindern-dass-die-osze-orte-mit-ausrustung-betritt/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",The conflict in Donbas between the Ukrainian government and the breakaway republics of Donetsk and Lugansk has been ongoing since 2014.,26/09/2021,Italy,SNA.IT,https://it.sputniknews.com/20210926/cremlino-auspica-nella-fedelta-della-germania-del-dopo-merkel-agli-accordi-di-minsk-13058594.html
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",The conflict in Donbas between the Ukrainian government and the breakaway republics of Donetsk and Lugansk has been ongoing since 2014.,26/09/2021,Italy,SNA.IT,https://it.sputniknews.com/20210926/cremlino-auspica-nella-fedelta-della-germania-del-dopo-merkel-agli-accordi-di-minsk-13058594.html
"The West is not interested in dealing with Ukraine, moreover, solving its problems.",The West is tired of Ukraine,The United States is tired of the Ukrainian issue and does not want to put it on the agenda.,29/09/2021,Germany,Uncutnews,https://uncutnews.ch/die-usa-sind-der-ukraine-ueberdruessig-und-werden-in-den-gespraechen-mit-russland-nicht-die-interessen-kiews-vertreten/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.",The West is tired of Ukraine,"Relations between the US and Ukraine appear to be becoming more and more precarious. Analysts believe that Washington is ""tired"" of Ukraine and that from now on the Biden administration intends to maintain the status quo and not put the Ukrainian issue on the agenda of bilateral US-Russia talks as the probability that both countries will reach an agreement is low. ",29/09/2021,Germany,Uncutnews,https://uncutnews.ch/die-usa-sind-der-ukraine-ueberdruessig-und-werden-in-den-gespraechen-mit-russland-nicht-die-interessen-kiews-vertreten/
Ukraine is conducting an aggressive policy,Ukraine denounced Minsk Agreements,"Ukraine finally refuses to implement the Minsk agreements — Miroshnik
The instruction of the Commander-in-Chief of the Ukrainian Armed Forces Valery Zalutzhny to allow the use of any kind of weapons to shell Donbas shows that Ukraine has finally abandoned the Minsk agreements, said LNR representative in the Trilateral Contact Group (TCG) Rodion Miroshnik.",29/09/2021,Germany,Newsfront,https://de.news-front.info/2021/09/29/ukraine-weigert-sich-endgultig-die-minsker-vereinbarungen-umzusetzen-miroschnik/
Ukraine is conducting an aggressive policy,Ukraine prepares\conducts provocations in Donbas,"The villagers are not afraid for nothing — the department of the DNR people's militia announced that there is information about the preparation of provocations. This time it is a terrorist act on Ukrainian-controlled territory. The purpose of such a provocation is to divert the attention of the international community and its citizens from the numerous scandals that rock Ukrainian politics on a daily basis. In order for the citizens of Ukraine, and with them their «Western partners», to quickly forget about the scandal surrounding Vladimir Zelensky's offshore accounts, it is necessary to escalate the situation in Donbas and blame everything on the people's militias of the republics, Kyiv decided.",9/10/2021,Germany,Newsfront,https://de.news-front.info/2021/10/09/volksrepubliken-von-luhansk-fordern-die-ukraine-auf-den-faktischen-ruckzug-aus-den-minsker-vereinbarungen-anzuerkennen/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,"The European Union has expanded the blacklist on the reunification of Crimea with Russia",11/10/2021,Italy,agenparl.eu,https://agenparl.eu/lunione-europea-ha-ampliato-la-lista-nera-sulla-riunificazione-della-crimea-con-la-Russia/
The West controls Ukraine and uses it to its advantage,The West controls the authorities in Ukraine,"President Putin wrote in an article on Russia-Ukraine relations in the summer that the neighboring country was under ""direct control from outside,"" echoed by former head of state and acting Deputy Chairman of the Security Council Medvedev earlier this week. That is a correct statement and means that everything that happens there is connected in one way or another with the American patron of Ukraine. ",18/10/2021,Germany,Uncutnews,https://uncutnews.ch/warum-ermitteln-die-usa-gegen-einen-amerikanischen-faschisten-wegen-kriegsverbrechen-in-der-ukraine/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,Moscow sees the United States as the key driving force behind the crisis in Ukraine and believes the ouster of former Ukrainian President Yanukovych is the latest step in a long-established pattern of US-orchestrated regime-change efforts.,18/10/2021,Germany,Uncutnews,https://uncutnews.ch/ehemaliger-cia-analyst-putin-blufft-nicht-in-sachen-ukraine/
The West controls Ukraine and uses it to its advantage,Ukraine is a puppet of the West in its global game,"Russian officials have long believed that the United States is conducting its own ""influencer campaigns"" to undermine Russia, weaken President Vladimir Putin, and install pro-Western regimes in the states of the former Soviet Union and elsewhere.",18/10/2021,Germany,Uncutnews,https://uncutnews.ch/ehemaliger-cia-analyst-putin-blufft-nicht-in-sachen-ukraine/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.",The West does not care about Ukraine,"Ukraine's level of priority among its Western partners has steadily declined. ... The West, on the other hand, is now seeking a more balanced approach to Russia, rather than advocating abstract ideas.",24/10/2021,Italy,Controinformazione,https://www.controinformazione.info/the-american-conservative-kiev-non-ricevera-il-sostegno-occidentale-se-lancera-unoffensiva-militare-nel-donbass/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.",The West does not care about Ukraine,Ukraine rightly fears that its Western aspirations are being sacrificed in favor of wider US and European geopolitical interests.,24/10/2021,Italy,Controinformazione,https://www.controinformazione.info/the-american-conservative-kiev-non-ricevera-il-sostegno-occidentale-se-lancera-unoffensiva-militare-nel-donbass/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,"The closeness that Merkel had to Barack Obama led to a new transatlantic route, which the Greens were also on the move. Demanding human rights internationally and, after the 2005 UN summit, the joint obligation to intervene in countries with poor governance led the chancellor to set up a shadow cabinet against Viktor Yanukovych in Ukraine together with politicians from the EU, especially the Greens, and to unite initiate regime change. The imprisonment of the former Ukrainian Prime Minister Yulia Tymoshenko, for whom Merkel had campaigned unsuccessfully on several occasions, played a special role for the Chancellor. This encouraged the chancellor to aggressively pursue the ousting of the Ukrainian president within the framework of the EU association agreement, which he ultimately did not sign, together with the Greens and American neoconservatives.",27/10/2021,Germany,Reitschuster,https://reitschuster.de/post/die-globalisierungs-kanzlerin/
Maidan in 2014 was a coup d'état,Maidan led to the separation of Donetsk and Luhansk and civil war in the region,"After the putsch on the Maidan in 2014, that was the most important reason why Ukrainian citizens in the Donbas in the south-east of Ukraine became separatists and decided to secede from Ukraine, which led to the civil war that is still ongoing and has recently flared up again after all.",31/10/2021,Germany,Info Sperber,https://www.infosperber.ch/politik/schweiz/so-will-br-ignazio-cassis-die-ukraine-in-lugano-aufleben-lassen/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","After the putsch on the Maidan in 2014, that was the most important reason why Ukrainian citizens in the Donbas in the south-east of Ukraine became separatists and decided to secede from Ukraine, which led to the civil war that is still ongoing and has recently flared up again after all.",31/10/2021,Germany,Info Sperber,https://www.infosperber.ch/politik/schweiz/so-will-br-ignazio-cassis-die-ukraine-in-lugano-aufleben-lassen/
Nazis and ultra-nationalists in Ukraine,Nazis/right-wing nationalist government took power after the coup d'état in Kyiv,The war in the eastern Ukrainian region of Donbas has now been going on for almost eight years. It was sparked by a NATO-backed coup in Kyiv in February 2014 against an elected government allied with Russia. The new regime was characterized by anti-Russian policies and neo-Nazi ideology. ,1/11/2021,Germany,Uncutnews,https://uncutnews.ch/die-nato-rueckt-in-der-ukraine-immer-naeher-an-einen-krieg-gegen-russland/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,The war in the eastern Ukrainian region of Donbas has now been going on for almost eight years. It was triggered by a NATO-backed coup d'état in Kyiv in February 2014 against an elected government allied with Russia.,1/11/2021,Germany,Uncutnews,https://uncutnews.ch/die-nato-rueckt-in-der-ukraine-immer-naeher-an-einen-krieg-gegen-russland/
The West controls Ukraine and uses it to its advantage,Ukraine is a puppet of the West in its global game,The war in the eastern Ukrainian region of Donbas has now been going on for almost eight years. It was triggered by a NATO-backed coup d'état in Kyiv in February 2014 against an elected government allied with Russia.,1/11/2021,Germany,Uncutnews,https://uncutnews.ch/die-nato-rueckt-in-der-ukraine-immer-naeher-an-einen-krieg-gegen-russland/
Russia is not an agressor towards Ukraine,Russia is not involved in the war in Ukraine,Western governments and NATO have accused Russia of invading eastern Ukraine and annexing Crimea. Moscow dismisses this as an absurd distortion of reality. Such slanders are undoubtedly a reason why Russia last week severed diplomatic ties with NATO.,1/11/2021,Germany,Uncutnews,https://uncutnews.ch/die-nato-rueckt-in-der-ukraine-immer-naeher-an-einen-krieg-gegen-russland/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,In March 2014 Crimea did what it had done in February 1991 and defended its independence again through the referendum.,2/11/2021,Germany,SNA.DE,https://snanews.de/20220211/russland-gegen-die-nato-expertendiskussion-5320151.html
Maidan in 2014 was a coup d'état,Nazi coup d'état,"The Right Sector provided the most violent demonstrators during Maidan, easily identifiable by their red and black armbands, and even before the coup in late February 2014 there were reports of torture at the Kyiv Trade Union House, which the nationalists had stormed and made their headquarters.",3/11/2021,Germany,RT.DE,https://de.rt.com/europa/126579-bekannter-neonazi-zum-berater-befehlshabers-ukraine/
Nazis and ultra-nationalists in Ukraine,Neo-fascist/neo-Nazi forces participated in the coup d'état in 2014,"The Right Sector provided the most violent demonstrators during Maidan, easily identifiable by their red and black armbands, and even before the coup in late February 2014 there were reports of torture at the Kyiv Trade Union House, which the nationalists had stormed and made their headquarters.",3/11/2021,Germany,RT.DE,https://de.rt.com/europa/126579-bekannter-neonazi-zum-berater-befehlshabers-ukraine/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.","For the West, Ukraine is only a buffer zone","Amid the many discussions about the future of Ukraine - a country that has failed to form a single nation in 30 years of its independence and is torn apart by ethnic, linguistic and economic divisions - Europe must ask what Ukraine really means to it. And the answer will be the same: a buffer zone, because this clearly reflects Ukraine's geopolitical role in relations with NATO and the EU. The Alliance needs Ukraine as a buffer zone.",3/11/2021,Germany,Uncutnews,https://uncutnews.ch/warum-ist-die-ukraine-in-der-nato-nicht-willkommen/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.","For the West, Ukraine is only a buffer zone",NATO needs Ukraine as a buffer zone,3/11/2021,Germany,Uncutnews,https://uncutnews.ch/warum-ist-die-ukraine-in-der-nato-nicht-willkommen/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","Volunteer battalions were formed from the Right Sector at the beginning of the civil war and operated largely outside the control of the Ukrainian army. In the summer of 2014, near Saur-Mogila, there was even a real skirmish between troops from the right sector and the regular Ukrainian army. ",3/11/2021,Germany,RT.DE,https://de.rt.com/europa/126579-bekannter-neonazi-zum-berater-befehlshabers-ukraine/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","In the early 1990s, before Ukraine was yet torn apart by civil war, NATO had its eye on this former Soviet republic. ",3/11/2021,Germany,Uncutnews,https://uncutnews.ch/warum-ist-die-ukraine-in-der-nato-nicht-willkommen/
The West controls Ukraine and uses it to its advantage,The West controls the authorities in Ukraine,"Now the negotiations depend more on Washington. If the Americans allow the Ukrainians to have a dialogueue, they will decide. But there is no point in talking about Kyiv's political will without ""big brother"" issuing an order.",4/11/2021,Germany,Newsfront,https://de.news-front.info/2021/11/04/donbass-bereit-fur-gesprache-aber-kiew-fehlt-der-politische-wille/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war",Yet all the support Ukraine has received from the United States and Europe has not helped it retake Crimea or achieve victory over its own citizens in Donbas.,4/11/2021,Germany,Uncutnews,https://uncutnews.ch/warum-ist-die-ukraine-in-der-nato-nicht-willkommen/
Russia is not an agressor towards Ukraine,Russia did not occupy Crimea. It was a reunification,Crimea rejoined Russia after a referendum.,10/11/2021,Germany,SNA.DE,https://snanews.de/20211011/eu-sanktionen-gegen-acht-weitere-amtspersonen-krim-3918472.html
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,Ukraine is being incited by the US to go to war in the Southeast. They are sending weapons and calling on NATO countries to lift restrictions on the supply of lethal weapons to Ukraine. They circle in the sky near Crimea and plow through the Black Sea.,15/11/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2020/ukraine-selensky-will-das-verfassungsgericht-entmachten-und-der-staat-steht-vor-der-pleite/
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,"Ukraine is being incited by the US to go to war in the Southeast. They are sending weapons and are calling on NATO countries to lift restrictions on the supply of lethal weapons to Ukraine. They circle in the sky near Crimea and plow through the Black Sea. Her words sound quite provocative. We know that when they want to attack, they talk about the danger of attacking themselves. And then it is staged.",15/11/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/wie-die-usa-die-kriegsgefahr-zwischen-der-ukraine-und-russland-befeuern/
The West controls Ukraine and uses it to its advantage,The West is fueling the war in Ukraine,Ukraine is being incited by the US to go to war in the Southeast. They are sending weapons and calling on NATO countries to lift restrictions on the supply of lethal weapons to Ukraine. They circle in the sky near Crimea and plow through the Black Sea.,16/11/2021,Germany,Uncutnews,https://uncutnews.ch/wie-die-usa-die-kriegsgefahr-zwischen-der-ukraine-und-russland-befeuern/
Nazis and ultra-nationalists in Ukraine,Nazis/right-wing nationalist government took power after the coup d'état in Kyiv,"Russia obviously has no interest in doing this, except as a last resort in the most extreme circumstances in self-defense. Moscow strictly adheres to the Minsk agreements and therefore regards the Donbas as an integral part of neighboring Ukraine, which, however, must be granted autonomy. The Kremlin, while detesting the ethno-fascist Ukrainian authorities in Kyiv, has learned to live with them and has no plans for military-motivated regime change in the Ukrainian capital. ",19/11/2021,Germany,Uncutnews,https://uncutnews.ch/ein-militaerisches-eingreifen-russlands-in-der-ukraine-ist-aeusserst-unwahrscheinlich/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,Many are of the opinion that the Maidan coup orchestrated by the US and other western countries was not a complete success from the US perspective because Crimea has united with Russia and because a civil war is now raging in Ukraine. ,20/11/2021,Germany,AntiSpiegel,https://www.anti-spiegel.ru/2020/welche-massnahmen-die-usa-gegen-russland-planen-teil-2-ukraine/
The West controls Ukraine and uses it to its advantage,Ukrainian coup d'etat (Maidan) in 2014 was supported or organized by the West,"It is no coincidence that the ""anti-terrorist operation"", as the civil war in Kyiv is called, was ordered by the then interim President Turchinov in 2014 at a meeting of the Ukrainian Security Council, at which the then CIA chief sat at the table. I reported on this extensively in my book on the Ukraine crisis and the CIA, after initial denials, finally had to admit that their boss was in fact incognito in Kyiv to attend this crucial meeting. So it was not primarily the Ukrainian nationalist hardliners who started the war, but the USA in the person of the CIA chief.",20/11/2021,Germany,AntiSpiegel,https://www.anti-spiegel.ru/2020/welche-massnahmen-die-usa-gegen-russland-planen-teil-2-ukraine/
The West controls Ukraine and uses it to its advantage,The West uses Ukraine in its actions against Russia,"Certainly, the fact that Crimea has become Russian and that NATO has not gained access to the modern Black Sea port in Sevastopol should annoy the USA. But that wasn't crucial. The ultimate goal was to permanently separate Ukraine and Russia. That's what geostrategists in the US have been saying since the end of the Soviet Union, because Ukraine and Russia would be stronger together, but a separation of the countries and a conflict between them would weaken both countries. And that's what the US is about: a weakening of Russia.",20/11/2021,Germany,AntiSpiegel,https://www.anti-spiegel.ru/2020/welche-massnahmen-die-usa-gegen-russland-planen-teil-2-ukraine/
The West controls Ukraine and uses it to its advantage,Ukraine has become an unofficial NATO military base,"The US and NATO are pushing Ukraine's conflict with Russia, which the Western media ignores. More and more maneuvers and arms deliveries have turned Ukraine into a NATO base.",21/11/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/das-spiel-mit-dem-feuer-die-ukraine-ist-ein-grosser-nato-militaerstuetzpunkt-geworden/
The West controls Ukraine and uses it to its advantage,Ukraine is a puppet of the West in its global game,"In addition, Ukraine's only military opponent is named: Russia. And it is clear who is driving this conflict. The new Ukrainian Defense Minister Resnikov rushed to the United States immediately after his appointment. The entire top leadership of the army and the commander of the military intelligence service Budanov went along.",21/11/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/das-spiel-mit-dem-feuer-die-ukraine-ist-ein-grosser-nato-militaerstuetzpunkt-geworden/
The West controls Ukraine and uses it to its advantage,The West uses Ukraine in its actions against Russia,"The US and NATO are pushing Ukraine's conflict with Russia, which the Western media ignores. More and more maneuvers and arms deliveries have turned Ukraine into a NATO base.",21/11/2021,Germany,Antispiegel,https://www.anti-spiegel.ru/2021/das-spiel-mit-dem-feuer-die-ukraine-ist-ein-grosser-nato-militaerstuetzpunkt-geworden/
Russia needs to protect itself,The West is provoking a war with Russia ,"The US and NATO are pushing Ukraine's conflict with Russia, which the Western media ignores. More and more maneuvers and arms deliveries have turned Ukraine into a NATO base.",22/11/2021,Germany,Uncutnews,https://uncutnews.ch/das-spiel-mit-dem-feuer-die-ukraine-ist-ein-grosser-nato-militaerstuetzpunkt-geworden/
The West controls Ukraine and uses it to its advantage,Ukraine has become an unofficial NATO military base,"More and more maneuvers and arms deliveries have turned Ukraine into a NATO base. It is remarkable how consistently the Western media ignores the provocations that NATO is promoting on Russia's borders. Above all, Ukraine is being used, whose radical nationalist leadership is just waiting to use violence to resolve the conflict in Donbas.",22/11/2021,Germany,Uncutnews,https://uncutnews.ch/das-spiel-mit-dem-feuer-die-ukraine-ist-ein-grosser-nato-militaerstuetzpunkt-geworden/
The West controls Ukraine and uses it to its advantage,The West uses Ukraine in its actions against Russia,"It is remarkable how consistently the Western media ignores the provocations that NATO is promoting on Russia's borders. Above all, Ukraine is being used, whose radical nationalist leadership is just waiting to use violence to resolve the conflict in Donbas. ",22/11/2021,Germany,Uncutnews,https://uncutnews.ch/das-spiel-mit-dem-feuer-die-ukraine-ist-ein-grosser-nato-militaerstuetzpunkt-geworden/
Ukraine is conducting an aggressive policy,Ukraine escalates the conflict in Donbas,"Above all, Ukraine is being used, whose radical nationalist leadership is just waiting to use violence to resolve the conflict in Donbas. ",22/11/2021,Germany,Uncutnews,https://uncutnews.ch/das-spiel-mit-dem-feuer-die-ukraine-ist-ein-grosser-nato-militaerstuetzpunkt-geworden/
The West controls Ukraine and uses it to its advantage,The West uses Ukraine in its actions against Russia,ARE US-NATO SETTING THE STAGE? INTERNAL PROBLEMS IN UKRAINE SUGGEST ESCALATION IN THE Donbas IS IMMINENT,23/11/2021,Italy,Controinformazione,https://www.controinformazione.info/usa-nato-preparano-la-scena-problemi-interni-in-ucraina-suggeriscono-che-lescalation-del-donbass-e-imminente/
Ukraine is conducting an aggressive policy,Ukraine prevents OSCE monitors from recording their violations,Ukrainian militants are doing everything they can to prevent OSCE observers from recording a ceasefire violation by Kyiv. They disrupt the work of the drones of the OSCE Special Monitoring Mission in Ukraine. ,23/11/2021,Germany,Newsfront,https://de.news-front.info/2021/11/23/die-ukraine-behindert-die-arbeit-der-osze-drohnen-9/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","But the status quo is not accepted by Kyiv, which continues to reclaim Crimea and wants to regain control of the Donbas regions, lost after the civil war (or uncivilized) mentioned above.",24/11/2021,Italy,Piccole Note,https://piccolenote.ilgiornale.it/53725/nuova-crisi-in-ucraina-il-summit-biden-putin-a-rischio
Ukraine is a failed state,Ukraine's economy and political institutions barely function,"Ukraine aspires to be part of NATO and the EU, but this prospect appears extremely unlikely as the nation is much more a liability than an asset: destitute, bankrupt, politically unstable and unable to control its own government, own territory, basically a failed state. ",28/11/2021,Italy,Come Don Chisciotte,https://comedonchisciotte.org/chi-vuole-un-po-di-ucraina/
"The West is not interested in dealing with Ukraine, moreover, solving its problems.",The West does not care about Ukraine,"""But what will become of Ukraine?"" you might be wondering. Well, the correct answer to that question seems to be: ""Nobody cares."" Seriously, looking at recent Ukrainian history, this seems to be the only answer that makes sense. The Americans certainly never cared, the Russians once cared, but they care less and less with each passing day, and the Ukrainians themselves don't care either, and they proved it by voting with their feet. The European Union and NATO may be very worried about having a great failed state in the middle of Europe, and they should, because this will probably be just the beginning, but it's a great start.",28/11/2021,Italy,Come Don Chisciotte,https://comedonchisciotte.org/chi-vuole-un-po-di-ucraina/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","Following that coup and the Donbas's refusal (along with Crimea) to recognize the new Ukrainian government installed by the US State Department, the Ukrainians had attempted to retake the Donbas by force. ",28/11/2021,Italy,Come Don Chisciotte,https://comedonchisciotte.org/chi-vuole-un-po-di-ucraina/
Ukraine is conducting an aggressive policy,Ukraine prepares\conducts provocations in Donbas,"Having ruled out what is extremely unlikely, let's move on to what is quite probable and that is a provocation in the Donbas staged by the Kyiv authorities and their American State Department, Pentagon and CIA handlers, designed to mislead the attention from the current economic situation, truly disastrous, in the hope of being able to maintain political control. ",28/11/2021,Italy,Come Don Chisciotte,https://comedonchisciotte.org/chi-vuole-un-po-di-ucraina/
Ukraine is conducting an aggressive policy,Ukraine builds up military forces in Donbas,"What the Western media has carefully ignored is the actual concentration of Ukrainian troops on the borders of the Donbas, the temporarily Ukrainian industrialized region, which has been de facto independent since 2014, the year of the Kyiv putsch.",28/11/2021,Italy,Come Don Chisciotte,https://comedonchisciotte.org/chi-vuole-un-po-di-ucraina/
Russians are discriminated in Ukraine,There is a discrimination of Russians in Ukraine,"And soon after, a series of legislative acts were adopted that lead to the total exclusion of Russian from all areas of [everyday] life.",2/12/2021,Italy,Come Don Chisciotte,https://comedonchisciotte.org/e-previsto-il-completo-divieto-in-ucraina-allistruzione-in-lingua-russa/
Russia is not an agressor towards Ukraine,"Conflict in Eastern Ukraine is solely internal, i.e, a civil war","""During the discussion on the problems of the Ukrainian internal crisis, the importance of full and strict compliance with the 2015 Minsk"" Package of Measures ""and other agreements, including those of the Normandy format, was highlighted,"" the Kremlin note said.",3/12/2021,Italy,SNA.IT,https://it.sputniknews.com/20211203/colloquio-telefonico-putin-erdogan-discusse-elezioni-in-libia-e-situazione-in-ucraina-14036872.html
Russia needs to protect itself,The West is provoking a war with Russia ,"While Blinken's comments attempted to highlight the seriousness of the situation, the current confusion over claims of Russian troop movements along the border with Ukraine is nothing more than a storm in a teacup fueled by Washington and the US media.",6/12/2021,Germany,RT.DE,https://de.rt.com/meinung/128075-russlands-plan-zur-invasion-ukraine/
Ukraine is conducting an aggressive policy,Kyiv ignores fulfillment ot the Minsk Agreements,"The Ukrainian army began firing artillery almost every day on the territories of the LPR and DPR , despite the fact that large-caliber guns are banned under the Minsk agreements.",6/12/2021,Italy,Controinformazione,https://www.controinformazione.info/il-capo-della-dpr-visto-laccumulo-di-forze-nato-in-ucraina-dovremo-richiedere-assistenza-militare-alla-Russia-e-alla-bieloRussia/
Russia needs to protect itself,"NATO has promised Russia not to expand, but has now betrayed its promise","Accordingly, the two German states should be reunited. Russian troops were to be withdrawn from East Germany, Poland, Czechoslovakia, Hungary, Bulgaria and Romania. And there would be no NATO enlargement in Eastern Europe. If America has made that promise, then that promise has been broken. For within 20 years, NATO had admitted all Warsaw Pact states as well as the former Soviet republics of Lithuania, Latvia and Estonia to the alliance.",8/12/2021,Germany,Uncutnews,https://uncutnews.ch/putin-an-biden-finnlandisieren-sie-die-ukraine-oder-wir-werden-es-tun/
